name,address,website,phone_number,reviews_count,reviews_average,store_shopping,in_store_pickup,store_delivery,place_type,opens_at,introduction
Nandambakkam GST circle,"3667+GGF, 2nd St, Loganathan Nagar, Padmanabha Nagar, Choolaimedu, Chennai, Tamil Nadu 600094",,,4,4.5,No,No,No,Central Government Office,,None Found
GST office bio-metric,"Commercial Tax and Registrar's Office, Ground Floor, Integrated Building, Fanepet, Nandanam, Chennai, Tamil Nadu 600035",,,,,No,No,No,Government office, Opens 10am Mon,None Found
Office of Commissioner of GST and Central Excise Chennai Outer,"2054-1, 2nd Ave, Anna Nagar, Anna Nagar West, Anna Nagar, Chennai, Tamil Nadu 600040",,1800 180 1961,21,4.7,No,No,No,Central Government Office,,None Found
"CGST, Chennai South Commissionerate HeadQuarters, Chennai Zone","POOMPUGAR SHIPPING CORPORATION, Mhu Complex, 692, Anna Salai, CIT Nagar East, Nandanam, Chennai, Tamil Nadu 600035",,,2,5.0,No,No,No,Government office, Opens 9:15am Mon,None Found
GSTLaws,"behind big bazaar, Via, Thyagaraya Road, NO:1, Sivaprakasam St, Pondy Bazaar, T. Nagar, Chennai, Tamil Nadu 600017",,,1,4.0,No,No,No,Law library,,None Found
Office of Commissioner of GST and Central Excise Chennai Outer,"2054-1, 2nd Ave, Anna Nagar, Anna Nagar West, Anna Nagar, Chennai, Tamil Nadu 600040",,1800 180 1961,21,4.7,No,No,No,Central Government Office,,None Found
Gst Seva Kendra,"Newry Towers, 12th Main Rd, Anna Nagar, Anna Nagar West, Anna Nagar, Chennai, Tamil Nadu 600040",,,28,4.2,No,No,No,Central Government Office, Opens 9:15am Mon,None Found
GST OFFICE IRUNGATTUKOTTAI DIVISION,"48, 2nd Ave, X Block, Tower Park, Anna Nagar, Chennai, Tamil Nadu 600040",,,,,No,No,No,Government office,,None Found
"Thirui Vi Ka Nagar Division, GST Chennai North Commissionerate","Gst Seva Kendra, Newry Towers, 12th Main Rd, Anna Nagar, Anna Nagar West, Anna Nagar, Chennai, Tamil Nadu 600040",,,,,No,No,No,Government office, Opens 9:30am Mon,None Found
Commissionarte of Central Excise Audit-1,"35RX+WCR Nehru, Jawaharlal Nehru Salai, Pioneer Colony, Anna Nagar West Extension, Chennai, Tamil Nadu 600101",,,1,4.0,No,No,No,Government office,,None Found
Purasawalkam GST Division,"36M3+V3G, L Block, Kurinji Colony, Anna Nagar, Chennai, Tamil Nadu 600040",,044 2614 2711,,,No,No,No,Central Government Office,,None Found
GST Consultants in Chennai,"1423, Varaha Valencia, 13th Main Rd, H Block, Anna Nagar West, Chennai, Tamil Nadu 600040",auditdsa.in,096001 89144,3,5.0,No,No,No,Auditor, Opens 10am Sat,None Found
Central excise office round tanna,"36P7+2WQ, Anna Nagar 3rd Main Rd, X Block, Tower Park, Anna Nagar, Chennai, Tamil Nadu 600040",,,1,4.0,No,No,No,Government office, Opens 10am Mon,None Found
deputy commissioner of cgst,"48, 2nd Ave, X Block, Tower Park, Anna Nagar, Chennai, Tamil Nadu 600040",,,,,No,No,No,Government office,,None Found
"GST ATTORNEYS (A Wing of LEXBRAINS run by Adv. Akila Arunkumar, Madras High Court)","Plot No, 2182, 12th Main Rd, Anna Nagar, AF Block, Anna Nagar, Chennai, Tamil Nadu 600040",lexbrains.com,080981 22888,78,5.0,No,No,No,Tax attorney, Opens 9am Sat,None Found
GST and income tax quarters akhil block,"36R3+CHP, Kathiravan Colony, Anna Nagar, Chennai, Tamil Nadu 600040",,,4,4.8,No,No,No,Apartment complex,,None Found
LTU Audit,"1, Jawaharlal Nehru Salai, Pioneer Colony, Anna Nagar West Extension, Chennai, Tamil Nadu 600101",,,45,4.5,No,No,No,Government office, Closes 5:45am Sat,None Found
GAYATHRI TAX CONSULTANT PVT LTD,"No.6/18,The Marl, 2nd Floor AJ Block, 5th street, Shanthi Colony, Anna Nagar, W, Chennai, Tamil Nadu 600040",taxteam.in,095515 50000,243,4.6,No,No,No,Tax preparation service, Opens 9:30am Sat,None Found
efiletax,"1227, 18th Main Rd, Kambar Colony, Anna Nagar West, Anna Nagar, Chennai, Tamil Nadu 600040",efiletax.in,096961 60160,1050,4.9,No,No,No,Tax preparation service, Opens 10am Sat,None Found
GST | Digital Marketing Training in chennai,"G, 2nd Floor, AP 814, 1st St, near Metro Station Anna Nagar Tower, G Block, Z Block, Ranganathan Garden, Anna Nagar, Chennai, Tamil Nadu 600040",,,5,5.0,No,No,No,Software Training Institute, Closes 9pm,None Found
GST Central Excise Divisions Ambattur Ponneri and Gummidipoondi,"A-1, R-40, 100 Feet Road, Thillaiyadi Valliammai Nagar, Thirumangalam, Mogappair, Chennai, Tamil Nadu 600050",,,14,4.5,No,No,No,Tax department, Opens 9:30am Mon,None Found
Vivac Skill Training Academy - Tally Training Academy - Chennai -GST training - Income Tax Training,"1st Floor, Bhagawathi Palace, Plot No 3631, Anna Nagar 3rd Main Rd, J Block, Annanagar East, Chennai, Tamil Nadu 600102",vivacacademy.com,098849 84822,525,4.8,No,No,No,Education center, Opens 9am Sat,None Found
GST Tax Academy,"600, 050, Madras Thiruvallur High Rd, Mannurpet, Anna Nagar, Chennai, Tamil Nadu 600049",gsttaxacademy.in,075500 65215,,,No,No,No,Education center,,None Found
ZoneTax India,"No 33, 17, 1st Cross St, Kamaraj Colony, Kodambakkam, Chennai, Tamil Nadu 600024",zonetaxindia.com,099620 05820,90,5.0,No,No,No,Corporate office, 8pm ,None Found
Nandambakkam GST circle,"3667+GGF, 2nd St, Loganathan Nagar, Padmanabha Nagar, Choolaimedu, Chennai, Tamil Nadu 600094",,,4,4.5,No,No,No,Central Government Office,,None Found
GST Bhawan Office of the Principal Chief Commissioner Of GST and Central Excise,"no.26, GST Bhawan, 1, Uthamar Gandhi Rd, Thousand Lights West, Nungambakkam, Chennai, Tamil Nadu 600034",gstchennai.gov.in,044 2833 1010,41,4.2,No,No,No,Central Government Office, Opens 9:15am Mon,None Found
GST Bhawan Canteen,"110, Nungambakkam High Rd, Thousand Lights West, Thousand Lights, Chennai, Tamil Nadu 600034",,,132,4.3,No,No,No,Cafeteria, Opens 9:30am Mon,None Found
GST Suvidha Kendra - Passion India Enterprises,"No.10, Old No.31/2, New, 2nd St, Vedachala Nagar, Kodambakkam, Chennai, Tamil Nadu 600024",blogger.com,094440 47714,1,5.0,No,No,No,Tax preparation service, Opens 10am Sat,None Found
"OFFICE OF THE JOINT COMMISSIONER,STATE TAX (GST), CHENNAI NORTH DIVISION.","32, Elephant Gate St, Periamet, Vepery, George Town, Chennai, Tamil Nadu 600003",,,10,4.6,No,No,No,Government office, Opens 10am Mon,None Found
"OFFICE OF THE JOINT COMMISSIONER,STATE TAX (GST), CHENNAI NORTH DIVISION.","32, Elephant Gate St, Periamet, Vepery, George Town, Chennai, Tamil Nadu 600003",,,10,4.6,No,No,No,Government office, Opens 10am Mon,None Found
Office of Commissioner of GST and Central Excise Chennai Outer,"2054-1, 2nd Ave, Anna Nagar, Anna Nagar West, Anna Nagar, Chennai, Tamil Nadu 600040",,1800 180 1961,21,4.7,No,No,No,Central Government Office,,None Found
"Integrated for Commercial Taxes, State Tax, (GST), Chennai (North) Division","32, Elephant Gate St, Periamet, Railway Colony, Chennai, Tamil Nadu 600003",ctd.tn.gov.in,,3,3.7,No,No,No,Government office, Opens 10am Mon,None Found
"Integrated for Commercial Taxes, State Tax, (GST), Chennai (North) Division","32, Elephant Gate St, Periamet, Railway Colony, Chennai, Tamil Nadu 600003",ctd.tn.gov.in,,3,3.7,No,No,No,Government office, Opens 10am Mon,None Found
GST office,"363X+6PW, Tirumurthy Nagar, T. Nagar, Chennai, Tamil Nadu 600006",,,2,4.5,No,No,No,Government office,,None Found
DG'S GST Classes,"FLAT NO.11, Amana Apartment, Taylor Estate 1st St, Akbarabad, Kodambakkam, Chennai, Tamil Nadu 600024",,,,,No,No,No,Education center, 7:30pm ,None Found
"GYT ASSOCIATES (GST Filling, Income Tax Filing, Accounts, Fssai Reg. Udyam, Tax consultant)","41, Kamaraj St, near H6 R.K.Nagar, Moopanar Nagar, Korukkupet, Old Washermanpet, Chennai, Tamil Nadu 600021",,,4,5.0,No,No,No,Tax consultant,,None Found
"GYT ASSOCIATES (GST Filling, Income Tax Filing, Accounts, Fssai Reg. Udyam, Tax consultant)","41, Kamaraj St, near H6 R.K.Nagar, Moopanar Nagar, Korukkupet, Old Washermanpet, Chennai, Tamil Nadu 600021",,,4,5.0,No,No,No,Tax consultant,,None Found
GST Support Center - Chennai,"3, Godown Street, George Town, Chennai, Tamil Nadu 600001",,,,,No,No,No,Public works department, Closes 10pm,None Found
GST Tax Academy,"714, Madras Thiruvallur High Rd, Periyar Nagar, Mannurpet, Padi, Chennai, Tamil Nadu 600050",gsttaxacademy.in,075500 85215,101,4.8,No,No,No,Education center, Opens 9:30am Sat,None Found
SALES TAX GST CONSULTANCY,"ALFIYA CONSULTANCY 1st FLOOR,NO : 179/55, 600, Grand Northern Trunk Rd, Erukkancheri, Chennai, Tamil Nadu 600118",,098404 18770,3,5.0,No,No,No,Tax department, Closes 9pm,None Found
Filing Point - Company registration | OPC registration | LLP registration consultants office in Chennai.,"II Floor, Gopi Nivas, New 2, Padmanabhan St, China Raji Thottam, Kodambakkam, Chennai, Tamil Nadu 600024",filingpoint.com,072999 72500,111,4.9,No,No,No,Tax preparation service, Opens 9am Sat,None Found
GST office,"273, Periamet, Badri Garden, Park Town, Chennai, Tamil Nadu 600003",,,,,No,No,No,Government office,,None Found
GST Central Excise Divisions Ambattur Ponneri and Gummidipoondi,"A-1, R-40, 100 Feet Road, Thillaiyadi Valliammai Nagar, Thirumangalam, Mogappair, Chennai, Tamil Nadu 600050",,,14,4.5,No,No,No,Tax department, Opens 9:30am Mon,None Found
GST registration,"Bai kadai, 1/168 Venkateswara nagar,kolapakkam, Porur, Chennai, Tamil Nadu 600122",qualitytaxservice.co.in,081224 20986,66,4.6,No,No,No,Registration office, Opens 10am Sat,None Found
GST registration,"Bai kadai, 1/168 Venkateswara nagar,kolapakkam, Porur, Chennai, Tamil Nadu 600122",qualitytaxservice.co.in,081224 20986,66,4.6,No,No,No,Registration office, Opens 10am Sat,None Found
Kanakkupillai,"No.13/22, 1st & 2nd Floor, W Karikalan St, Adambakkam, Chennai, Tamil Nadu 600088",kanakkupillai.com,073053 45345,3065,4.8,No,No,No,Accounting firm, Closes 9pm,None Found
Commercial Tax Office Annex,"CT - ANNEX BUILDING, 1, Greams Rd, Thousand Lights West, Thousand Lights, Chennai, Tamil Nadu 600006",ctd.tn.gov.in,,42,4.0,No,No,No,Government office, Opens 10am Mon,None Found
Purasawalkam GST Division,"36M3+V3G, L Block, Kurinji Colony, Anna Nagar, Chennai, Tamil Nadu 600040",,044 2614 2711,,,No,No,No,Central Government Office,,None Found
GST OFFICE IRUNGATTUKOTTAI DIVISION,"48, 2nd Ave, X Block, Tower Park, Anna Nagar, Chennai, Tamil Nadu 600040",,,,,No,No,No,Government office,,None Found
"Integrated Commercial Taxes building, Nandanam","537, Fanepet, Nandanam, Chennai, Tamil Nadu 600035",ctd.tn.gov.in,,23,4.5,No,No,No,Government office, Opens 10am Mon,None Found
Commissionarte of Central Excise Audit-1,"35RX+WCR Nehru, Jawaharlal Nehru Salai, Pioneer Colony, Anna Nagar West Extension, Chennai, Tamil Nadu 600101",,,1,4.0,No,No,No,Government office,,None Found
GST REGISTRATION CENTRE (GST SUVIDHA KENDRA),"New No.37, Puliyur 2nd Main Road, 3rd Cross St, Trustpuram, Kodambakkam, Chennai, Tamil Nadu 600024",,082206 27627,,,No,No,No,Accounting firm, Opens 10am Sat,None Found
GST office bio-metric,"Commercial Tax and Registrar's Office, Ground Floor, Integrated Building, Fanepet, Nandanam, Chennai, Tamil Nadu 600035",,,,,No,No,No,Government office, Opens 10am Mon,None Found
"CGST Thiruvottiyur Division,Royapuram Division,Chennai North CGST Commissionerate, Chennai CGST Zone","459,Anna Salai,Anna Nagar, Teynampet, Chennai, Tamil Nadu 600018",,,1,4.0,No,No,No,Government office, Opens 9am Mon,None Found
Office of the Assistant commissioner of GST and Central Excise,"35QH+57X, Mogappair, Chennai, Tamil Nadu 600037",,,1,5.0,No,No,No,Government office,,None Found
GST Chennai South Preventive,"692, Anna Salai, MHU Complex, Nandanam, Chennai, Tamil Nadu 600015",,,,,No,No,No,Government office, Opens 9am Sat,None Found
"Thirui Vi Ka Nagar Division, GST Chennai North Commissionerate","Gst Seva Kendra, Newry Towers, 12th Main Rd, Anna Nagar, Anna Nagar West, Anna Nagar, Chennai, Tamil Nadu 600040",,,,,No,No,No,Government office, Opens 9:30am Mon,None Found
GST Consultants in Chennai,"1423, Varaha Valencia, 13th Main Rd, H Block, Anna Nagar West, Chennai, Tamil Nadu 600040",auditdsa.in,096001 89144,3,5.0,No,No,No,Auditor, Opens 10am Sat,None Found
GST Consultants in Chennai,"1423, Varaha Valencia, 13th Main Rd, H Block, Anna Nagar West, Chennai, Tamil Nadu 600040",auditdsa.in,096001 89144,3,5.0,No,No,No,Auditor, Opens 10am Sat,None Found
"CGST CHENNAI North Commissionerate,Chennai CGST Zone","26, 1, Uthamar Gandhi Rd, Tirumurthy Nagar, Thousand Lights, Chennai, Tamil Nadu 600006",,,1,5.0,No,No,No,Government office,,None Found
"CGST Vadapalani, Valasaravakkam, Porur Divisions; Chennai South Commissionerate, Chennai CGST Zone","GROUND FLOOR, LAND MARK, Newry Sonex Towers, 2054 - I METRO STATION, 12th Main Rd, II AVENUE, Anna Nagar West, Chennai, 600040",,,1,4.0,No,No,No,Government office,,None Found
GST Efiling & Consultancy Services LLP,"No. 9/3, Raja complex, 3rd Floor, VK Iyer Road, Mandaveli, Raja Annamalai Puram, Chennai, Tamil Nadu 600028",gstefilingca.com,096001 92192,4,5.0,No,No,No,Tax consultant, Opens 9am Sat,None Found
GST Efiling & Consultancy Services LLP,"No. 9/3, Raja complex, 3rd Floor, VK Iyer Road, Mandaveli, Raja Annamalai Puram, Chennai, Tamil Nadu 600028",gstefilingca.com,096001 92192,4,5.0,No,No,No,Tax consultant, Opens 9am Sat,None Found
myGSTzone,"4th Floor, Fathima Akthar Court, 453, Anna Salai, Teynampet, Chennai, Tamil Nadu 600018",mygstzone.com,070923 29232,992,5.0,No,No,No,Tax consultant, Opens 10am Sat,None Found
Commercial Tax and Registration Department,"26FJ+HW6, Fanepet, Nandanam, Chennai, Tamil Nadu 600035",,,19,4.6,No,No,No,Government office, Opens 10am Mon,None Found
Commercial Tax and Registration Department,"26FJ+HW6, Fanepet, Nandanam, Chennai, Tamil Nadu 600035",,,19,4.6,No,No,No,Government office, Opens 10am Mon,None Found
S Sankar Ganesh,"Ground Floor, 28/143, 4th Cross St, Ragavan Colony, Pari Nagar, Ashok Nagar, Chennai, Tamil Nadu 600083",,094439 07771,67,5.0,No,No,No,Tax collector's office, Opens 10am Sat,None Found
"Midass System Products - GST Billing Software, Tally Software, Cloud Based Accounting","101 / 42, First Floor, Trust puram, near, 6th Cross St, next to Ponmani Maligai, Kodambakkam, Chennai, Tamil Nadu 600024",midass.co.in,086789 01901,56,4.6,Yes,No,Yes,Computer store, Closes 8:30pm,None Found
DGPM SRU GST CUSTOMS AND EXCISE,"Old No.617, Bharat Kumar Bhavan, 3RD FLOOR, No.418, Anna Salai, Chennai, Tamil Nadu 600006",,,,,No,No,No,Government office,,None Found
Gst Nilayam,"692, MHU Complex, Behind Periyar Building, Nandanam, Anna Salai, CIT Nagar East, CIT Nagar, Chennai, Tamil Nadu 600035",,,,,No,No,No,Government office, Opens 9am Mon,None Found
"CGST, Chennai South Commissionerate HeadQuarters, Chennai Zone","POOMPUGAR SHIPPING CORPORATION, Mhu Complex, 692, Anna Salai, CIT Nagar East, Nandanam, Chennai, Tamil Nadu 600035",,,2,5.0,No,No,No,Government office, Opens 9:15am Mon,None Found
GST Suvidha kendra,"street, Reddy Kuppam Rd, Mullai Thottam, West Mambalam, Chennai, Tamil Nadu 600015",gstsuvidhakendra.org.in,0120 686 0789,,,No,No,No,Corporate office, 8pm ,None Found
"Ananda Office Centre, Central Excise Department","459, Anna Salai, Anna Nagar, Teynampet, Chennai, Tamil Nadu 600015",,,8,4.5,No,No,No,Government office,,None Found
mylapore assesment circle (state gst),"26FJ+GV8 Integrated building for Offices of the Commercial taxes and Registration Department, Fanepet, Nandanam, Chennai, Tamil Nadu 600035",,,,,No,No,No,Government office,,None Found
Tax Guider,"Third Floor, New No599, Old No.230, Konnur High Rd, Ayanavaram, Chennai, Tamil Nadu 600023",taxguider.in,086950 08695,109,4.9,No,No,No,Tax preparation service, Opens 9:30am Sat,None Found
Tax Guider,"Third Floor, New No599, Old No.230, Konnur High Rd, Ayanavaram, Chennai, Tamil Nadu 600023",taxguider.in,086950 08695,109,4.9,No,No,No,Tax preparation service, Opens 9:30am Sat,None Found
"GST filing, TDS filing, Insurance renewal","26R5+Q3Q, Sector 13, Ashok Nagar, Chennai, Tamil Nadu 600083",,,1,5.0,No,No,No,Insurance agency,,None Found
LTU Audit,"1, Jawaharlal Nehru Salai, Pioneer Colony, Anna Nagar West Extension, Chennai, Tamil Nadu 600101",,,45,4.5,No,No,No,Government office, Closes 5:45am Sat,None Found
Dr. Ajitesh Radhakrishnan I.R.S,"Large Taxpayer Unit (LTU), Department of Revenue, Ministry of Finance,, Government of India, No.1775, Jawaharlal Nehru Inner Ring Road,, Annanagar Western Extension, Chennai, Tamil Nadu 600101",,044 2615 5275,5,5.0,No,No,No,Government office, Opens 9am Sat,None Found
Sales Tax Office,"2nd floor, M.S. Nagar, Mukta Gardens, Chetpet, Chennai, Tamil Nadu 600031",,,2,3.0,No,No,No,Local government office, Closes 5:45am Sat,None Found
Tax and Grow,"First Floor, NO:120, Arcot Rd, East Kamakoti Nagar, Karpaga Vinayagar Colony, Valasaravakkam, Chennai, Tamil Nadu 600087",taxandgrow.com,074011 84099,63,5.0,No,No,No,Accounting firm, Opens 10am Sat,None Found
RENU GST CONSULTANT,"VISAKA FLATS NEW, NO 02, Tharachand Nagar Main Rd, ANNEX, Virugambakkam, Chennai, Tamil Nadu 600092",,096771 25510,2,5.0,No,No,No,Consultant, Opens 10am Sat,None Found
G.B.K GST CONSULTANT,"FLAT NO-288, NO-13. DEVI SEEMATHAMMAN NAGAR, EAST EXTENTION, Pallavan Nagar, Maduravoyal, Chennai, Tamil Nadu 600095",,,8,4.8,No,No,No,Tax preparation service, Opens 11am Sat,None Found
Government of Tamil Nadu - Commercial Taxes,"No. 5, First Floor, High Court Colony Rd, Main Street, Thiru Nagar, Villivakkam, Chennai, Tamil Nadu 600049",ctd.tn.gov.in,044 2618 4466,16,3.3,No,No,No,State government office, Opens 10am Mon,None Found
deputy commissioner of cgst,"48, 2nd Ave, X Block, Tower Park, Anna Nagar, Chennai, Tamil Nadu 600040",,,,,No,No,No,Government office,,None Found
A. ARUL ANTO & CO,"No.2/11, Valliammal Garden, 1, st Street, Rangarajapuram, Kodambakkam, Chennai, Tamil Nadu 600024",aarulanto.com,098408 17970,22,4.6,No,No,No,Chartered accountant, 8pm ,None Found
A. ARUL ANTO & CO,"No.2/11, Valliammal Garden, 1, st Street, Rangarajapuram, Kodambakkam, Chennai, Tamil Nadu 600024",aarulanto.com,098408 17970,22,4.6,No,No,No,Chartered accountant, 8pm ,None Found
Expert Point,"Bhuvaneshwari Complex, 2nd Floor New No.4, Old, 19, Dr Thomas Rd, T. Nagar, Chennai, Tamil Nadu 600017",expertpoint.in,095495 49090,71,4.9,No,No,No,Accounting firm, Opens 9am Sat,None Found
GAYATHRI TAX CONSULTANT PVT LTD,"No.6/18,The Marl, 2nd Floor AJ Block, 5th street, Shanthi Colony, Anna Nagar, W, Chennai, Tamil Nadu 600040",taxteam.in,095515 50000,243,4.6,No,No,No,Tax preparation service, Opens 9:30am Sat,None Found
Office of deputy commissioner of gst and excise,"35QH+4RR, E Mogappair Rd, Thiruvalluvar Nagar, J J Nagar, Mogappair, Chennai, Tamil Nadu 600050",,,,,No,No,No,Central Government Office,,None Found
The Commissioner Of Service Tax,"6th Floor, MHU Complex, 692, Anna Salai, Nandanam, Chennai, Tamil Nadu 600035",commercialtax.assam.gov.in,,7,4.1,No,No,No,Tax department, Opens 9:15am Mon,None Found
LIS Legalinsimple | Company registration | POSH compliance | TradeMark Registration | Contracts | Legal Consultation,"2nd floor, LIS Service, No: 20, Puliyur 2nd Main Rd, Ganga Nagar, Trustpuram, Kodambakkam, Chennai, Tamil Nadu 600024",legalinsimple.com,,48,4.9,No,No,No,Legal services, 8pm ,None Found
LIS Legalinsimple | Company registration | POSH compliance | TradeMark Registration | Contracts | Legal Consultation,"2nd floor, LIS Service, No: 20, Puliyur 2nd Main Rd, Ganga Nagar, Trustpuram, Kodambakkam, Chennai, Tamil Nadu 600024",legalinsimple.com,,48,4.9,No,No,No,Legal services, 8pm ,None Found
Central Excise Office,"35HF+8JW, Mogappair West, Mogappair, Chennai, Tamil Nadu 600037",,044 2624 6200,4,5.0,No,No,No,Government office,,None Found
GST SERVICE CENTER,"1-6, 11th St, Thirumalai Nagar, Thiru Nagar, Nesapakkam, Chennai, Tamil Nadu 600087",,,,,No,No,No,Corporate office, Opens 10am Mon,None Found
Central excise office round tanna,"36P7+2WQ, Anna Nagar 3rd Main Rd, X Block, Tower Park, Anna Nagar, Chennai, Tamil Nadu 600040",,,1,4.0,No,No,No,Government office, Opens 10am Mon,None Found
Chennai North Commissionerate - Head Quarters,"110, Nungambakkam High Rd, Sadras, Thousand Lights, Chennai, Tamil Nadu 600006",,,1,5.0,No,No,No,Government office,,None Found
"Palaniyappa Maligai, Greams Road","Palaniappa Maligai, New No.10, Greams Rd, Chennai, 600006",,,10,4.0,No,No,No,Government office, Opens 10am Mon,None Found
Sales Tax Office,"233/114, Mannadi, George Town, Chennai, Tamil Nadu 600001",,,1,3.0,No,No,No,Tax collector's office,,None Found
WaytoBusiness Solutions,"Anbalayaa, No.22, Thirumangalam Road, Kambar Colony, I Block, Anna Nagar, Chennai, Tamil Nadu 600040",,093630 32241,3,4.7,No,No,No,Tax preparation service, Opens 10am Sat,None Found
WaytoBusiness Solutions,"Anbalayaa, No.22, Thirumangalam Road, Kambar Colony, I Block, Anna Nagar, Chennai, Tamil Nadu 600040",,093630 32241,3,4.7,No,No,No,Tax preparation service, Opens 10am Sat,None Found
PAPJM BUILDING,"3783+GQM, Greams Rd, Thousand Lights West, Thousand Lights, Chennai, Tamil Nadu 600006",,,2,4.5,No,No,No,Government office,,None Found
Mrg Consultancy,"59, Muthuvel St, Dr.Subbaraya Nagar, Kodambakkam, Chennai, Tamil Nadu 600024",,,,,No,No,No,Accountant,,None Found
Chennai Tax Consultants,"H B Estate,3rd floor Old no.125,New, no.259, Linghi Chetty Street, Chennai, Tamil Nadu 600001",,097907 87552,98,4.6,No,No,No,Tax consultant, Opens 10am Sat,None Found
"Aadhaar, PAN Card, Voter ID, Passport, GST, MSME, Ration Card, Smart Card, Income Cert, FSSAI New and Correction Apply","7/3, Ragavan Colony, Thiru Nagar Colony, Andavar Nagar, Kodambakkam, Chennai, Tamil Nadu 600024",,,,,No,No,No,Consultant, Closes 9pm,None Found
GST SUVIDHA SEWA KENDRAN OFFICE,"NO 6, N Red Hills Rd, Barathy Nagar, Valluvar Nagar, Kolathur, Chennai, Tamil Nadu 600099",,,,,No,No,No,Tax collector's office,,None Found
GST (Suvidha Center),"Plot no.22, Neithal Street, Fathima Nagar, Valasaravakkam, Chennai, Tamil Nadu 600087",mathisgroupofcompanies.org,,,,No,No,No,Social services organization,,None Found
"Gst support center,pallikkaranai","No 3 6th STREET WEST ANNA NAGAR, Narayanapuram, Pallikaranai, Chennai, Tamil Nadu 600100",,,,,No,No,No,Public works department,,None Found
gst consultants,"11a mahalakshmi nagar, Ernavur, Chennai, Tamil Nadu 600057",,,,,No,No,No,Tax preparation service,,None Found
GSTLaws,"behind big bazaar, Via, Thyagaraya Road, NO:1, Sivaprakasam St, Pondy Bazaar, T. Nagar, Chennai, Tamil Nadu 600017",,,1,4.0,No,No,No,Law library,,None Found
GST Bhawan Office of the Principal Chief Commissioner Of GST and Central Excise,"no.26, GST Bhawan, 1, Uthamar Gandhi Rd, Thousand Lights West, Nungambakkam, Chennai, Tamil Nadu 600034",gstchennai.gov.in,044 2833 1010,41,4.2,No,No,No,Central Government Office, Opens 9:15am Mon,None Found
GST office,"363X+6PW, Tirumurthy Nagar, T. Nagar, Chennai, Tamil Nadu 600006",,,2,4.5,No,No,No,Government office,,None Found
GST Bhawan Canteen,"110, Nungambakkam High Rd, Thousand Lights West, Thousand Lights, Chennai, Tamil Nadu 600034",,,132,4.3,No,No,No,Cafeteria, Opens 9:30am Mon,None Found
Gst Sorters,"New No-29, H M Center, Old No 15A, Nungambakkam High Rd, Nungambakkam, Chennai, Tamil Nadu 600034",,,,,No,No,No,Tax consultant,,None Found
GST Manager,"Office suite 5, D Space, 45, Montieth Road, Ceebros Centre, 3rd Floor, Egmore, Chennai, Tamil Nadu 600008",gstmanager.com,,9,5.0,No,No,No,Tax consultant, Opens 9:30am Mon,None Found
"OFFICE OF THE JOINT COMMISSIONER,STATE TAX (GST), CHENNAI NORTH DIVISION.","32, Elephant Gate St, Periamet, Vepery, George Town, Chennai, Tamil Nadu 600003",,,10,4.6,No,No,No,Government office, Opens 10am Mon,None Found
